#k   pk
1.577776289286399658e-04 4.387948104921977119e+02
1.593495203474629618e-04 4.430078511062177995e+02
1.609370720512664230e-04 4.472612469695321806e+02
1.625404400587949312e-04 4.515553820665979288e+02
1.641597819431611118e-04 4.558906439949199125e+02
1.657952568473315376e-04 4.602674239985005329e+02
1.674470254997666976e-04 4.646861170015940843e+02
1.691152502302166840e-04 4.691471214997636139e+02
1.708000949856744411e-04 4.736508391020919362e+02
1.725017253464879044e-04 4.781976749979342571e+02
1.742203085426325196e-04 4.827880381578168567e+02
1.759560134701461484e-04 4.874223413678549832e+02
1.777090107077273909e-04 4.921010012644837275e+02
1.794794725334995463e-04 4.968244383694814701e+02
1.812675729419413787e-04 5.015930771253086959e+02
1.830734876609867200e-04 5.064073459307513758e+02
1.848973941692944013e-04 5.112676771768787489e+02
1.867394717136901109e-04 5.161745072833208496e+02
1.885999013267821323e-04 5.211282767348553762e+02
1.904788658447526407e-04 5.261294301183241942e+02
1.923765499253260773e-04 5.311784161598639002e+02
1.942931400659166606e-04 5.362756877624693743e+02
1.962288246219567162e-04 5.414217020438799182e+02
1.981837938254074768e-04 5.466169203748086147e+02
2.001582398034544683e-04 5.518618084174843261e+02
2.021523565973889450e-04 5.571568361645524874e+02
2.041663401816776777e-04 5.625024779782999076e+02
2.062003884832225309e-04 5.678992126302379120e+02
2.082547014008119990e-04 5.733475233410065357e+02
2.103294808247665700e-04 5.788478978206536567e+02
2.124249306567796522e-04 5.844008281896013841e+02
2.145412568299564767e-04 5.900068100626692740e+02
2.166786673290522212e-04 5.956663430549081113e+02
2.188373722109121489e-04 6.013799313617276994e+02
2.210175836251151429e-04 6.071480838041140942e+02
2.232195158348230222e-04 6.129713138693829251e+02
2.254433852378375370e-04 6.188501397522639991e+02
2.276894103878671029e-04 6.247850843963202578e+02
2.299578120160055772e-04 6.307766755357215516e+02
2.322488130524247329e-04 6.368254457373542436e+02
2.345626386482830834e-04 6.429319324432766507e+02
2.368995161978530131e-04 6.490966780135375984e+02
2.392596753608680811e-04 6.553202297693275113e+02
2.416433480850932914e-04 6.616031400365055788e+02
2.440507686291198746e-04 6.679459661894692317e+02
2.464821735853876166e-04 6.743492706953966263e+02
2.489378019034360883e-04 6.808136211588372362e+02
2.514178949133877338e-04 6.873395903666869344e+02
2.539226963496651174e-04 6.939277563335131163e+02
2.564524523749439318e-04 7.005787023472723831e+02
2.590074116043452343e-04 7.072930170153786094e+02
2.615878251298683226e-04 7.140712943111622053e+02
2.641939465450670677e-04 7.209141336207131872e+02
2.668260319699722522e-04 7.278221397178385814e+02
2.694843400762620290e-04 7.347959213312650490e+02
2.721691321126833716e-04 7.418360911868907124e+02
2.748806719307264157e-04 7.489432674330209920e+02
2.776192260105549430e-04 7.561180737444466331e+02
2.803850634871952303e-04 7.633611393686478550e+02
2.831784561769852158e-04 7.706730991723168245e+02
2.859996786042880482e-04 7.780545936882543856e+02
2.888490080284711022e-04 7.855062691625913658e+02
2.917267244711541476e-04 7.930287776023779998e+02
2.946331107437285689e-04 8.006227768235116855e+02
2.975684524751514301e-04 8.082889304990295614e+02
3.005330381400157401e-04 8.160279082077495332e+02
3.035271590869007669e-04 8.238403854832782827e+02
3.065511095670050046e-04 8.317270438633740923e+02
3.096051867630625495e-04 8.396885709396631228e+02
3.126896908185526451e-04 8.477256604077510929e+02
3.158049248671917163e-04 8.558390121176603316e+02
3.189511950627296841e-04 8.640293321246763298e+02
3.221288106090321852e-04 8.722973327405225064e+02
3.253380837904732521e-04 8.806437325849558420e+02
3.285793300026203494e-04 8.890692566376932291e+02
3.318528677832354541e-04 8.975746362907532330e+02
3.351590188435745626e-04 9.061606093793600394e+02
3.384981081000095317e-04 9.148279184118021021e+02
3.418704637059542546e-04 9.235773091557067573e+02
3.452764170841200004e-04 9.324095334791187497e+02
3.487163029590806739e-04 9.413253497154483966e+02
3.521904593901741226e-04 9.503255227130963476e+02
3.556992278047195976e-04 9.594108238853332296e+02
3.592429530315775516e-04 9.685820312604993205e+02
3.628219833350327457e-04 9.778399295324899185e+02
3.664366704490258186e-04 9.871853101115789286e+02
3.700873696117147247e-04 9.966189711754981317e+02
3.737744396003922238e-04 1.006141717720847851e+03
3.774982427667390944e-04 1.015754361614812069e+03
3.812591450724407173e-04 1.025457721647170501e+03
3.850575161251464291e-04 1.035252623582610795e+03
3.888937292147995111e-04 1.045139900213363262e+03
3.927681613503162367e-04 1.055120391412127901e+03
3.966811932966433051e-04 1.065194944185318718e+03
4.006332096121718151e-04 1.075364412726590444e+03
4.046245986865365648e-04 1.085629658470729737e+03
4.086557527787789920e-04 1.095991550147780117e+03
4.127270680559036800e-04 1.106450963837546396e+03
4.168389446318053362e-04 1.117008783024351033e+03
4.209917866065974665e-04 1.127665898651783891e+03
4.251860021063188946e-04 1.138423207451091002e+03
4.294220033230498391e-04 1.149281607883044217e+03
4.337002065554136946e-04 1.160242004542031509e+03
4.380210322494961775e-04 1.171305309365051926e+03
4.423849050401584696e-04 1.182472441680411521e+03
4.467922537927755330e-04 1.193744328256591643e+03
4.512435116453765004e-04 1.205121903351282072e+03
4.557391160512190716e-04 1.216606108760619236e+03
4.602795088217734678e-04 1.228197893868514711e+03
4.648651361701493906e-04 1.239898215696229045e+03
4.694964487549408328e-04 1.251708038952034713e+03
